,NU_ANO,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ESCOLA,TP_ENSINO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
892,2019,M,1,2,1,2,2,1.0,2507507.0,João Pessoa,PB,512.2,468.2,465.0,450.0,640.0
893,2019,M,1,2,1,2,2,1.0,2513703.0,Santa Rita,PB,454.7,505.4,527.3,647.1,280.0
894,2019,F,1,2,1,2,2,1.0,2504306.0,Catolé do Rocha,PB,562.0,533.2,553.3,401.5,700.0
895,2019,M,1,3,1,2,2,1.0,2503209.0,Cabedelo,PB,465.2,486.8,498.3,406.4,460.0
896,2019,M,1,3,1,2,2,1.0,2504009.0,Campina Grande,PB,442.8,394.1,534.9,549.8,540.0
897,2019,M,1,1,1,2,2,1.0,2506301.0,Guarabira,PB,468.9,578.1,553.2,662.1,840.0
898,2019,F,1,3,1,2,2,1.0,2507507.0,João Pessoa,PB,373.8,465.6,418.2,429.3,0.0
899,2019,F,1,4,1,2,2,1.0,2507507.0,João Pessoa,PB,456.1,533.5,523.4,466.9,520.0
900,2019,F,1,3,1,2,2,1.0,2504009.0,Campina Grande,PB,433.2,480.0,509.1,439.1,560.0
901,2019,F,1,3,1,2,2,1.0,2503209.0,Cabedelo,PB,449.8,573.6,567.8,505.0,640.0
902,2019,F,1,4,1,2,2,1.0,2504009.0,Campina Grande,PB,472.2,428.8,521.1,487.2,760.0
903,2019,F,1,3,1,2,2,1.0,2507804.0,Junco do Seridó,PB,460.8,417.3,558.3,599.8,520.0
904,2019,F,1,3,1,2,2,1.0,2504009.0,Campina Grande,PB,562.9,526.2,538.1,473.3,700.0
905,2019,M,1,2,1,2,2,1.0,2514305.0,São José de Caiana,PB,392.7,363.9,475.0,406.6,560.0
906,2019,M,1,1,1,2,2,1.0,2501609.0,Barra de Santa Rosa,PB,457.8,346.1,395.4,640.0,480.0
907,2019,F,1,3,1,2,2,1.0,2504157.0,Casserengue,PB,429.1,547.8,539.3,390.0,640.0
908,2019,M,1,3,1,2,2,1.0,2506301.0,Guarabira,PB,456.0,476.8,523.4,414.7,900.0
909,2019,F,1,1,1,2,2,1.0,2503209.0,Cabedelo,PB,564.6,563.9,539.2,436.5,600.0
910,2019,M,1,3,1,2,2,1.0,2503209.0,Cabedelo,PB,573.2,585.3,589.9,658.4,640.0
911,2019,F,1,3,1,2,2,1.0,2515930.0,Sertãozinho,PB,346.4,494.9,504.2,426.7,540.0
912,2019,M,1,1,1,2,2,1.0,2503209.0,Cabedelo,PB,349.2,457.1,514.5,467.0,320.0
913,2019,F,1,3,1,2,2,1.0,2512101.0,Pombal,PB,495.0,510.5,504.0,509.9,760.0
914,2019,F,1,3,1,2,2,1.0,2508109.0,Lagoa,PB,392.7,496.7,520.3,432.2,720.0
915,2019,F,1,1,1,2,2,1.0,2507507.0,João Pessoa,PB,529.9,612.9,607.9,589.4,520.0
916,2019,F,1,2,1,2,2,1.0,2503209.0,Cabedelo,PB,506.5,521.7,515.0,540.8,460.0
917,2019,F,1,4,1,2,2,1.0,2507507.0,João Pessoa,PB,489.3,556.1,549.2,427.8,700.0
918,2019,F,0,3,1,2,2,1.0,2516201.0,Sousa,PB,432.5,410.3,466.7,455.4,460.0
919,2019,F,1,3,1,2,2,1.0,2515302.0,Sapé,PB,444.8,445.3,545.3,378.8,560.0
920,2019,M,1,3,1,2,2,1.0,2502409.0,Bonito de Santa Fé,PB,444.0,552.2,545.2,458.5,580.0
921,2019,F,1,1,1,2,2,1.0,2501807.0,Bayeux,PB,438.1,410.0,350.6,603.0,660.0
922,2019,M,1,3,1,2,2,1.0,2512309.0,Princesa Isabel,PB,351.9,336.8,460.6,409.8,280.0
923,2019,F,1,3,1,2,2,1.0,2503605.0,Caiçara,PB,370.2,509.3,557.4,586.5,580.0
924,2019,F,1,3,1,2,2,1.0,2503209.0,Cabedelo,PB,352.0,540.9,477.3,424.2,540.0
925,2019,M,0,3,1,2,2,1.0,2503209.0,Cabedelo,PB,490.3,524.0,523.9,437.3,320.0
926,2019,F,1,3,1,2,2,1.0,2507507.0,João Pessoa,PB,466.3,481.4,485.4,539.8,680.0
927,2019,M,1,3,1,2,2,1.0,2513703.0,Santa Rita,PB,452.8,530.0,515.6,467.8,460.0
928,2019,F,1,2,1,2,2,1.0,2504009.0,Campina Grande,PB,398.1,435.5,483.4,461.9,660.0
929,2019,F,1,3,1,2,2,1.0,2511400.0,Picuí,PB,476.4,468.5,409.9,424.6,520.0
930,2019,F,1,3,1,2,2,1.0,2500775.0,Aparecida,PB,430.9,536.7,435.5,399.9,620.0
931,2019,M,1,5,1,2,2,1.0,2503209.0,Cabedelo,PB,389.7,429.9,533.3,510.4,600.0
932,2019,F,1,5,1,2,2,1.0,2515500.0,Serra Branca,PB,518.8,411.7,419.2,475.9,520.0
933,2019,F,1,4,1,2,2,1.0,2505204.0,Cuitegi,PB,465.1,534.9,503.6,429.7,780.0
934,2019,M,1,3,1,2,2,1.0,2500908.0,Arara,PB,564.3,614.2,586.2,775.1,800.0
935,2019,M,1,3,1,2,2,1.0,2503209.0,Cabedelo,PB,370.6,379.2,403.0,402.4,480.0
936,2019,F,1,1,1,2,2,1.0,2502409.0,Bonito de Santa Fé,PB,449.8,529.0,483.9,449.2,880.0
937,2019,M,1,3,1,2,2,1.0,2504306.0,Catolé do Rocha,PB,562.2,619.6,567.5,706.3,840.0
938,2019,F,1,3,1,2,2,1.0,2505501.0,Vista Serrana,PB,542.3,555.5,536.0,584.0,940.0
939,2019,F,1,1,1,2,2,1.0,2500403.0,Alagoa Nova,PB,495.0,499.1,560.4,474.9,880.0
940,2019,M,1,3,1,2,2,1.0,2504009.0,Campina Grande,PB,433.7,372.4,348.6,359.3,0.0
941,2019,F,1,3,1,2,2,1.0,2500502.0,Alagoinha,PB,449.5,438.8,502.9,443.4,360.0
942,2019,F,1,1,1,2,2,1.0,2507507.0,João Pessoa,PB,408.1,519.0,444.4,381.5,780.0
943,2019,F,1,3,1,2,2,1.0,2501500.0,Bananeiras,PB,395.9,457.9,471.1,460.9,280.0
944,2019,F,3,3,1,2,2,1.0,2503209.0,Cabedelo,PB,472.9,482.9,480.7,389.8,0.0
945,2019,M,1,3,1,2,2,1.0,2509800.0,Mulungu,PB,360.2,490.6,496.9,409.7,560.0
946,2019,F,1,3,1,2,2,1.0,2507507.0,João Pessoa,PB,509.8,432.0,513.8,456.8,680.0
947,2019,F,1,2,1,2,2,1.0,2507507.0,João Pessoa,PB,479.2,428.8,397.8,486.8,540.0
948,2019,F,1,3,1,2,2,1.0,2507507.0,João Pessoa,PB,396.2,412.4,491.0,389.6,560.0
949,2019,F,1,3,1,2,2,1.0,2500502.0,Alagoinha,PB,441.4,588.7,564.1,539.0,540.0
950,2019,M,1,3,1,2,2,1.0,2507606.0,Juarez Távora,PB,357.8,410.4,442.5,477.3,580.0
951,2019,F,1,3,1,2,2,1.0,2504157.0,Casserengue,PB,455.5,397.2,512.4,463.1,740.0
952,2019,F,1,3,1,2,2,1.0,2504009.0,Campina Grande,PB,400.4,380.7,464.2,409.5,660.0
953,2019,M,0,0,1,2,2,1.0,2516201.0,Sousa,PB,454.6,451.3,469.8,425.4,700.0
954,2019,F,1,3,1,2,2,1.0,2506301.0,Guarabira,PB,411.9,440.5,479.1,467.9,480.0
955,2019,M,1,3,1,2,2,1.0,2513208.0,Santa Cruz,PB,526.1,553.4,497.1,552.1,600.0
956,2019,M,1,2,1,2,2,1.0,2503209.0,Cabedelo,PB,347.1,462.4,523.7,428.6,620.0
957,2019,M,1,1,1,2,2,1.0,2503100.0,Cabaceiras,PB,492.9,583.6,557.9,682.9,840.0
958,2019,F,1,3,1,2,2,1.0,2507507.0,João Pessoa,PB,404.4,487.4,532.7,398.2,680.0
959,2019,F,1,3,1,2,2,1.0,2510501.0,Olivedos,PB,510.1,535.8,539.8,482.3,680.0
960,2019,M,1,3,1,2,2,1.0,2506103.0,Fagundes,PB,504.9,457.9,494.1,403.2,540.0
961,2019,M,1,0,1,2,2,1.0,2502904.0,Brejo dos Santos,PB,414.5,473.9,490.2,471.5,540.0
962,2019,F,1,3,1,2,2,1.0,2502607.0,Igaracy,PB,363.1,415.8,378.8,472.5,560.0
963,2019,F,1,3,1,2,2,1.0,2504009.0,Campina Grande,PB,397.0,496.2,475.9,478.7,660.0
964,2019,F,1,3,1,2,2,1.0,2503506.0,Cacimba de Dentro,PB,524.4,523.9,550.3,586.3,640.0
965,2019,F,1,2,1,2,2,1.0,2504009.0,Campina Grande,PB,433.3,442.0,517.1,512.8,640.0
966,2019,F,1,1,1,2,2,1.0,2503209.0,Cabedelo,PB,362.8,398.2,530.0,395.1,800.0
967,2019,M,1,3,1,2,2,1.0,2502003.0,Belém do Brejo do Cruz,PB,417.3,484.5,545.8,516.3,780.0
968,2019,F,1,3,1,2,2,1.0,2503704.0,Cajazeiras,PB,523.0,606.5,578.0,634.4,780.0
969,2019,F,1,1,1,2,2,1.0,2505105.0,Cuité,PB,471.1,533.1,525.2,427.9,620.0
970,2019,M,1,5,1,2,2,1.0,2507606.0,Juarez Távora,PB,370.6,408.8,452.9,492.1,460.0
971,2019,M,1,1,1,2,2,1.0,2502508.0,Boqueirão,PB,428.2,413.2,430.4,530.6,680.0
972,2019,F,1,1,1,2,2,1.0,2503001.0,Caaporã,PB,415.0,394.7,487.0,469.9,560.0
973,2019,F,1,3,1,2,2,1.0,2507507.0,João Pessoa,PB,593.3,618.8,598.5,472.0,780.0
974,2019,F,1,3,1,2,2,1.0,2516003.0,Solânea,PB,513.7,473.8,489.4,577.7,600.0
975,2019,F,1,3,1,2,2,1.0,2507507.0,João Pessoa,PB,384.4,463.7,536.5,388.6,600.0
976,2019,M,1,3,1,2,2,1.0,2507507.0,João Pessoa,PB,554.4,573.6,573.2,624.4,500.0
977,2019,F,1,3,1,2,2,1.0,2501609.0,Barra de Santa Rosa,PB,422.1,446.4,498.3,476.3,700.0
978,2019,M,1,2,1,2,2,1.0,2513703.0,Santa Rita,PB,507.0,525.5,493.0,515.3,680.0
979,2019,M,1,3,1,2,2,1.0,2507606.0,Juarez Távora,PB,563.1,595.6,600.9,594.8,920.0
980,2019,M,1,2,1,2,2,1.0,2508901.0,Mamanguape,PB,569.4,517.8,574.8,557.8,720.0
981,2019,F,1,3,1,2,2,1.0,2503209.0,Cabedelo,PB,450.3,412.2,465.0,419.0,480.0
982,2019,F,1,2,1,2,2,1.0,2502607.0,Igaracy,PB,373.7,349.9,448.7,421.3,540.0
983,2019,F,1,1,1,2,2,1.0,2505105.0,Cuité,PB,376.7,434.7,537.9,369.9,380.0
984,2019,F,1,1,1,2,2,1.0,2503704.0,Cajazeiras,PB,461.8,564.0,518.5,423.9,780.0
985,2019,M,1,2,1,2,2,1.0,2503209.0,Cabedelo,PB,357.7,435.1,380.3,431.5,0.0
986,2019,F,1,2,1,2,2,1.0,2506301.0,Guarabira,PB,507.6,607.5,560.0,505.8,760.0
987,2019,F,1,3,1,2,2,1.0,2508901.0,Mamanguape,PB,406.9,367.6,504.2,554.6,380.0
988,2019,F,1,1,1,2,2,1.0,2504009.0,Campina Grande,PB,546.3,535.5,552.0,578.0,860.0
989,2019,F,3,0,1,2,2,1.0,2502508.0,Boqueirão,PB,370.3,375.4,356.7,387.8,600.0
990,2019,M,1,3,1,2,2,1.0,2500502.0,Alagoinha,PB,446.8,406.3,429.2,495.8,620.0
991,2019,F,1,3,1,2,2,1.0,2513703.0,Santa Rita,PB,532.6,550.6,509.6,492.3,780.0
992,2019,F,1,1,1,2,2,1.0,2503209.0,Cabedelo,PB,464.0,489.2,368.6,368.7,620.0
993,2019,F,1,3,1,2,2,1.0,2513703.0,Santa Rita,PB,350.2,394.0,508.5,489.9,760.0
994,2019,M,1,3,1,2,2,1.0,2509107.0,Mari,PB,430.8,429.6,375.1,543.1,480.0
995,2019,F,1,3,1,2,2,1.0,2507507.0,João Pessoa,PB,379.2,354.6,515.1,546.9,620.0
996,2019,F,1,1,1,2,2,1.0,2508901.0,Mamanguape,PB,394.9,386.3,454.7,359.5,340.0
997,2019,F,1,1,1,2,2,1.0,2516003.0,Solânea,PB,427.6,403.3,469.5,385.0,580.0
998,2019,F,1,3,1,2,2,1.0,2510808.0,Patos,PB,514.2,584.6,550.4,447.5,860.0
999,2019,F,1,3,1,2,2,1.0,2511400.0,Picuí,PB,399.0,526.2,500.4,415.6,620.0
1000,2019,F,0,3,1,2,2,1.0,2515401.0,São Vicente do Seridó,PB,371.9,453.7,471.6,439.7,600.0
